id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391903316926418951,1391903316926418951,2021-05-10 18:49:45 Hora de verano central (México),2021-05-10,18:49:45,-0500,62558942,tvtenlinea,Televisión Tabasqueña,,"#Entérate Reporta la Secretaría de Salud del estado 93 nuevos casos positivos a COVID-19 y 2 defunciones de las cuales 1 se registró en las últimas 48 horas. Tiene Tabasco 1,028 casos activos y acumula 65 mil 811 casos desde el inicio de la pandemia  https://t.co/JTeNc5kuw3",es,[],[],['https://pbs.twimg.com/media/E1EIrigWEAoV_UJ.jpg'],0,1,3,['entérate'],[],https://twitter.com/TVTenlinea/status/1391903316926418951,False,,1,https://pbs.twimg.com/media/E1EIrigWEAoV_UJ.jpg,,,,,,,[],,,,
1391903304154763267,1391903304154763267,2021-05-10 18:49:42 Hora de verano central (México),2021-05-10,18:49:42,-0500,21030451,johnfriedman,John Friedman 🌏,,"As #COVID19 cases start to decline,  employers are eager to return to ‘normal’ they must consider #employees’ needs (I.e. whether *their* situations enable return to offices/workplaces). #ESG #MondayMotivation",en,[],[],[],0,0,1,"['covid19', 'employees', 'esg', 'mondaymotivation']",[],https://twitter.com/JohnFriedman/status/1391903304154763267,False,,0,,,,,,,,[],,,,
1391903299692027907,1391903299692027907,2021-05-10 18:49:41 Hora de verano central (México),2021-05-10,18:49:41,-0500,780460754910732288,discussingfilm,DiscussingFilm,,"Phil Lord and Chris Miller are set to direct ‘THE PREMONITION: A PANDEMIC STORY’, a film about the early days of COVID-19 and the U.S. heroes who tried to warn against underestimating the virus.  (Source:  https://t.co/F9FUqabgvd)  https://t.co/weq1u5zzN9",en,[],['https://bit.ly/3uCz8t7'],['https://pbs.twimg.com/media/E1EIrCPWYAA8B7e.jpg'],120,119,1402,[],[],https://twitter.com/DiscussingFilm/status/1391903299692027907,False,,1,https://pbs.twimg.com/media/E1EIrCPWYAA8B7e.jpg,,,,,,,[],,,,
1391903295644577793,1391835663075581961,2021-05-10 18:49:40 Hora de verano central (México),2021-05-10,18:49:40,-0500,274154181,broadzamani,Je Suis Broad,,@DrOlufunmilayo Covid-19 benefit government,en,[],[],[],0,0,0,[],[],https://twitter.com/broadzamani/status/1391903295644577793,False,,0,,,,,,,,"[{'screen_name': 'DrOlufunmilayo', 'name': '#OurFavOnlineDoc 🩺🇳🇬🇬🇧💎', 'id': '553581707'}]",,,,
1391903295464108033,1391903295464108033,2021-05-10 18:49:40 Hora de verano central (México),2021-05-10,18:49:40,-0500,3161022151,guadalupanofiel,Oda Mei Brown o Macario,,EN CHILE A PESAR DE SU VACUNACION SIGUEN HABIENDO CONTAGIOS Y GENTE EN CUIDADOS INTENSIVOS ASI MEXICO NO BAJES LA GUARDIA COVID19,es,[],[],[],0,0,0,[],[],https://twitter.com/guadalupanofiel/status/1391903295464108033,False,,0,,,,,,,,[],,,,
1391903289206317056,1391903289206317056,2021-05-10 18:49:39 Hora de verano central (México),2021-05-10,18:49:39,-0500,408650578,cuidardiabetes,CUI.D.AR,,VACUNACIÓN COVID-19 PEDIDO ALTA PRIORIDAD  @cuidardiabetes inició expediente en Ministerio Salud de la Nación. EX-2021-35501012---APN-DD#MS  en su carácter de órgano rector solicitando se de ALTA PRIORIDAD vacunación a las personas con factores de riesgo de todo país @msalnacion  https://t.co/qJ04oi10Eb,es,"[{'screen_name': 'cuidardiabetes', 'name': 'cui.d.ar', 'id': '408650578'}, {'screen_name': 'msalnacion', 'name': 'ministerio de salud de la nación', 'id': '144929758'}]",[],['https://pbs.twimg.com/media/E1EIqjJWQAEYKLs.jpg'],0,3,6,[],[],https://twitter.com/cuidardiabetes/status/1391903289206317056,False,,1,https://pbs.twimg.com/media/E1EIqjJWQAEYKLs.jpg,,,,,,,[],,,,
1391903286400327682,1391903286400327682,2021-05-10 18:49:38 Hora de verano central (México),2021-05-10,18:49:38,-0500,42486455,thestarphoenix,TheStarPhoenix.com,,Deadly fungus infection found in COVID-19 patients in India leaves victims with disfigured faces  https://t.co/N61WeHVn4Y,en,[],['https://thestarphoenix.com/news/world/deadly-fungus-infection-found-in-covid-19-patients-in-india-leaves-victims-with-disfigured-faces/wcm/9565b7ab-3f33-4d00-8c3a-755230fb3fde?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1620669319'],[],1,0,1,[],[],https://twitter.com/TheStarPhoenix/status/1391903286400327682,False,,0,,,,,,,,[],,,,
1391903285867646978,1391903285867646978,2021-05-10 18:49:38 Hora de verano central (México),2021-05-10,18:49:38,-0500,1531880323,infolecturas,InfoLecturas,,🌀 El riesgo de contraer COVID-19 en el supermercado aumenta cuando cometes este error  https://t.co/0L1NsUurYp,es,[],['https://grandesmedios.com/error-covid-19-supermercado/'],[],0,0,0,[],[],https://twitter.com/InfoLecturas/status/1391903285867646978,False,,0,,,,,,,,[],,,,
1391903284131155971,1391903284131155971,2021-05-10 18:49:37 Hora de verano central (México),2021-05-10,18:49:37,-0500,902735670824849409,pulsoregionalmx,Pulso Regional Mx,,📚😷Así fue el regreso a clases en la #UDLAP con medidas vs #Covid19 👇🏼 https://t.co/BI9j2zCKw7  https://t.co/2dJYj2LIb3,es,[],['https://contrastesdepuebla.mx/asi-fue-el-regreso-a-clases-en-la-udlap-con-medidas-vs-covid19'],['https://pbs.twimg.com/media/E1EIppnWYAIsqJG.jpg'],0,0,0,"['udlap', 'covid19']",[],https://twitter.com/PulsoRegionalMX/status/1391903284131155971,False,,1,https://pbs.twimg.com/media/E1EIppnWYAIsqJG.jpg,,,,,,,[],,,,
1391903284038934534,1391903284038934534,2021-05-10 18:49:37 Hora de verano central (México),2021-05-10,18:49:37,-0500,1323375354514472961,lfcshaunjudge,Shaun,,"Well you idiot lucky it's always raining then ain't it...🤦🏻🤦🏻  COVID-19: New coronavirus variants can 'come out of a blue sky', warns Professor Chris Whitty  https://t.co/kRqZbfyB8Q",en,[],['http://news.sky.com/story/covid-19-new-coronavirus-variants-can-come-out-of-a-blue-sky-warns-professor-chris-whitty-12303047'],[],0,0,1,[],[],https://twitter.com/LfcShaunjudge/status/1391903284038934534,False,,0,,,,,,,,[],,,,
